Time (s),Limonene-FB = 20 µm (ref),Toluene-FB = 20 µm (v1),Limonene-FB = 10 µm (v2),Toluene-FB = 10 µm (v3)
12686834.170854272,0.346820544393546,0.377908025111633,0.4449932934741184,0.5769924799718005
12898281.407035176,0.36446214953338624,0.40330298402024234,0.4731550432543535,0.6235235968728227
13109728.643216081,0.3815161562770416,0.42851289968142076,0.5010153471806007,0.669452093527488
13321175.879396984,0.3980754590706846,0.45354570445311587,0.5286004971832095,0.714788045018323
13532623.11557789,0.4142163752791707,0.4784067550705719,0.5559301183396492,0.7595413082422954
13744070.351758795,0.43000075746353544,0.5030994342792315,0.5830188120514186,0.803720206833129
13955517.587939698,0.445479521081847,0.5276262414872018,0.6098780196087094,0.8473324825159337
14166964.824120604,0.4606948972598882,0.5519892316557875,0.6365169629091434,0.8903859355755704
14378412.060301507,0.4756818191932483,0.5761900008557543,0.6629429194449676,0.932887948608062
14589859.296482412,0.4904692613097204,0.6002298998321438,0.6891617334924532,0.9748455717092886
14801306.532663317,0.5050814983798022,0.6241103383278436,0.7151784687419583,1.0162663088631474
15012753.76884422,0.5195383778503326,0.6478322526791527,0.7409969565829787,1.0571562166335458
15224201.005025126,0.5338567735972773,0.6713968015746077,0.7666206716353448,1.0975221817445975
15435648.24120603,0.5480509960190322,0.6948053500732445,0.7920529429376002,1.1373718858274091
15647095.477386935,0.5621326944015352,0.7180587477893152,0.8172961354496445,1.1767112217809197
15858542.71356784,0.5761119409531499,0.7411582510419514,0.8423528361212441,1.2155474759218312
16069989.949748743,0.5899969715358687,0.7641046569485214,0.8672248664696179,1.2538863041106438
16281437.185929649,0.6037948069408682,0.786898923642714,0.8919140936801571,1.2917338710096338
16492884.422110554,0.6175114398471051,0.8095421649596062,0.9164224530574537,1.3290967849134878
16704331.658291457,0.6311520104213425,0.8320356475461588,0.9407518544697527,1.365982077789618
16915778.89447236,0.6447206134219189,0.8543800461800808,0.9649035434193017,1.402394845110802
17127226.130653266,0.658220989641263,0.8765766426335982,0.9888792912091146,1.4383420658414579
17338673.36683417,0.6716559516189026,0.898625890404445,1.012679982846137,1.4738280550375362
17550120.603015076,0.6850283789623699,0.9205292744442738,1.0363075670406627,1.5088603036046475
17761567.83919598,0.6983404294526053,0.9422876290674059,1.0597632980765326,1.5434442104033874
17973015.075376883,0.7115940252172869,0.9639018794470213,1.0830484426740075,1.5775854198711112
18184462.31155779,0.7247908267165787,0.9853730431785233,1.1061643917682427,1.611289770265569
18395909.547738694,0.7379322908143081,1.0067022132105798,1.1291125946916731,1.644563302019818
18607356.7839196,0.7510193818121262,1.027889653922945,1.151893515116763,1.6774094891725935
18818804.020100504,0.7640534113921529,1.0489370165556928,1.1745092144975082,1.7098359379885053
19030251.256281406,0.7770352334050138,1.069845043810911,1.1969607136754827,1.7418474656607177
19241698.49246231,0.789965629379313,1.090614629568121,1.2192491811383046,1.7734492945903564
19453145.728643216,0.8028452117413035,1.1112464432163598,1.2413755006590619,1.8046459500923373
19664592.96482412,0.8156747880728951,1.131741928382624,1.2633415198708473,1.8354441643062622
19876040.201005027,0.8284548870934537,1.1521018075600322,1.2851481781318304,1.8658485028428404
20087487.43718593,0.8411858356316125,1.1723266612032675,1.3067962683125889,1.895863106184621
20298934.673366833,0.853868172906668,1.1924175057583961,1.328287104045466,1.9254933045053622
20510381.90954774,0.8665023657431947,1.2123754151876074,1.3496220448542782,1.9547445478400098
20721829.145728644,0.87908875992424,1.232201264482305,1.3708022243896367,1.9836216835661376
20933276.38190955,0.8916275551714725,1.2518954810617986,1.3918282465820238,2.012128232136239
21144723.61809045,0.9041191762736187,1.2714593248467867,1.412701686796858,2.040270026579621
21356170.854271356,0.9165639734661926,1.2908938027752457,1.4334238247927908,2.068052143420904
21567618.09045226,0.9289622775991533,1.3101999575497676,1.4539959758404708,2.095479679737633
21779065.326633167,0.9413139813032858,1.3293776568845317,1.4744180803980613,2.1225544796732985
21990512.56281407,0.9536196662602091,1.3484286778472885,1.4946923145405377,2.149283600811652
22201959.798994973,0.9658794711886843,1.367353632563766,1.5148194872525265,2.175670841055112
22413407.03517588,0.9780935315487825,1.3861531012153514,1.5348003664728267,2.2017198912728717
22624854.271356784,0.9902621402892122,1.404828180433632,1.5546363255970226,2.227435791778438
22836301.50753769,1.0023855767697578,1.4233798896808987,1.5743286501160654,2.25282332327627
23047748.743718594,1.0144637265763585,1.441808154834448,1.5938773419186711,2.2778843320678455
23259195.9798995,1.0264971752741396,1.4601148424864656,1.6132846649690145,2.3026257617692116
23470643.2160804,1.0384860232902386,1.478300604455957,1.6325514721460037,2.3270512923056876
23682090.452261306,1.050430163290468,1.4963653864158706,1.651677790154035,2.351162752391011
23893537.68844221,1.0623300118320695,1.5143105957291423,1.670665341103836,2.3749657290712385
24104984.924623117,1.0741857624293663,1.5321371166421744,1.6895152424813014,2.398464408099541
24316432.160804022,1.0859975675350018,1.5498456721379132,1.7082284219952446,2.4216625234469955
24527879.396984924,1.097765590948938,1.5674370017842947,1.7268058242377273,2.444563815872598
24739326.63316583,1.1094899947621117,1.584911862093702,1.7452484105572308,2.4671720287450203
24950773.869346734,1.121170938884126,1.6022710211114581,1.7635571581321239,2.489490908947753
25162221.10552764,1.132808598615563,1.619515261924701,1.78173305883328,2.5115242031615685
25373668.341708545,1.144403151407219,1.6366453819120803,1.7997771187557945,2.5332756547198123
25585115.577889446,1.155954781350611,1.6536621922180534,1.817690357650933,2.5547490008086684
25796562.81407035,1.1674636782268077,1.6705665138351156,1.8354738095453376,2.5759479720181515
26008010.050251257,1.178929761154685,1.6873584552891125,1.8531276832163792,2.5968745430308244
26219457.286432162,1.190353333915712,1.7040391350235493,1.8706533509719012,2.6175331097182357
26430904.522613067,1.201734706369934,1.7206096869213252,1.888052200023555,2.6379280473027107
26642351.75879397,1.2130740932194322,1.737070976061966,1.9053253081814254,2.6580630429790024
